campaign_id,date,campaign_name,channel,impressions,clicks,conversions,spend,revenue
1001,09/02/2024,  back to school  ,Instagram,47617.0,607.0,67.0,1854.2342189605483,
1002,29-Aug-2024,  holiday promo  , LinkedIn,17779.0,1370.0,178.0,742.0651214023052,34292.79478392657
1003,2024-09-12 00:00:00,flash sale,Email,17850.0,303.0,24.0,$700.73,1302.8966171215184
1004,03-Sep-2024,  summer sale  ,Email,22204.0,511.0,25.0,1285.83,4608.43
1005,08/21/2024,SUMMER_SALE,Google Ads,30899.0,346.0,41.0,1623.48,
1006,2024-10-22 00:00:00,holiday promo,Google Ads,,870.0,94.0,928.47,3031.9740793346673
1007,2024-10-24,Summer_Sale,Email,29831.0,,127.0,1508.3496279798455,4562.74
1008,2024-10-07 00:00:00,Flash_Sale,email,20978.0,590.0,40.0,1201.08,3022.83
1009,"September 27, 2024",BackToSchool,Instagram,31306.0,813.0,34.0,"$1,965.23","$4,006.16"
1010,2024-09-14,Holiday Promo,email,11136.0,,61.0,1738.8245845257964,2298.917609001184
1011,2024-10-06 00:00:00,  holiday promo  ,Facebook,9152.0,563.0,24.0,"$1,149.73",4150.10
1012,09/02/2024,Back_to_School,email,18320.0,422.0,,$732.74,"$2,031.50"
1013,"October 02, 2024",Holiday Promo,Email,12053.0,319.0,13.0,$413.33,2240.85
1014,2024-11-05 00:00:00,  BackToSchool  ,google ads,47714.0,,100.0,1096.14,"$9,439.97"
1015,2024-10-09,SUMMER_SALE,facebook,,1626.0,100.0,1208.07,9276.918185668233
1016,05-Nov-2024,FlashSale,Google Ads,14051.0,1104.0,109.0,"$1,291.46","$13,550.73"
1017,2024-10-30 00:00:00,new product launch, Instagram,11554.0,913.0,90.0,512.59,"$4,257.27"
1018,11/05/2024,holiday promo,Email,34561.0,954.0,61.0,,11250.63
1019,13-Sep-2024,Back_to_School,Instagram,17371.0,237.0,7.0,$123.31,780.94
1020,"October 20, 2024",BackToSchool,email,25762.0,793.0,74.0,,10568.983260262114
1021,2024-09-16,  BackToSchool  ,Facebook,33307.0,1670.0,170.0,924.4687678577236,
1022,2024-10-02,New_Product_Launch,facebook,,671.0,69.0,807.12,4760.80036711906
1023,2024-10-25,summer sale,facebook,34307.0,,77.0,1973.1109517352256,"$11,448.94"
